,data,time,real_time,hour,price_date,str_price_date,all_return,c_return,10_days_std,10_days_mean,10_days_std_year,10_days_sharp_ratio
0,"[{'symbol_id': 'FC0386', 'symbols': [{'id': '9929', 'reason': '', 'change_rate': -3, 'change_rate_new': -0.03, 'open': 11.7, 'close': 11.3, 'change_rate_today': -0.03418803418803407, 'name': '秋雨'}]}]",2020-07-21 12:01:45.302,2020-07-21 20:01:45.302,20,2020-07-22,2020-07-22,-0.03418803418803407,-0.03418803418803407,,,,
1,"[{'symbol_id': 'FC0386', 'symbols': [{'id': '5225', 'reason': '', 'change_rate': 2.12, 'change_rate_new': 0.0212, 'open': 26.1, 'close': 26.5, 'change_rate_today': 0.015325670498084237, 'name': '東科-KY'}, {'id': '2543', 'reason': '', 'change_rate': -1.07, 'change_rate_new': -0.010700000000000001, 'open': 6.62, 'close': 6.5, 'change_rate_today': -0.018126888217522674, 'name': '皇昌'}, {'id': '8420', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 21.5, 'close': 21.5, 'change_rate_today': 0.0, 'name': '明揚'}, {'id': '8423', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 17.6, 'close': 17.6, 'change_rate_today': 0.0, 'name': '保綠-KY'}]}]",2020-07-22 12:01:55.655,2020-07-22 20:01:55.655,20,2020-07-23,2020-07-23,-0.0007003044298596094,-0.03486439658610352,,,,
2,"[{'symbol_id': 'FC0386', 'symbols': [{'id': '5225', 'reason': '', 'change_rate': -3.58, 'change_rate_new': -0.0358, 'open': 26.1, 'close': 25.55, 'change_rate_today': -0.021072796934865926, 'name': '東科-KY'}, {'id': '1470', 'reason': '', 'change_rate': 2.32, 'change_rate_new': 0.0232, 'open': 18.9, 'close': 19.85, 'change_rate_today': 0.05026455026455042, 'name': '大統新創'}, {'id': '3115', 'reason': '', 'change_rate': -7.02, 'change_rate_new': -0.0702, 'open': 14.9, 'close': 13.9, 'change_rate_today': -0.06711409395973154, 'name': '寶島極'}, {'id': '5263', 'reason': '', 'change_rate': -2.59, 'change_rate_new': -0.0259, 'open': 114, 'close': 111, 'change_rate_today': -0.02631578947368421, 'name': '智崴'}, {'id': '4558', 'reason': '', 'change_rate': 1.79, 'change_rate_new': 0.0179, 'open': 15.67, 'close': 15.95, 'change_rate_today': 0.017868538608806595, 'name': '寶緯'}]}]",2020-07-23 12:01:48.850,2020-07-23 20:01:48.850,20,2020-07-24,2020-07-24,-0.009273918298984931,-0.04381498531960548,,,,
3,"[{'symbol_id': 'FC0386', 'symbols': [{'id': '1470', 'reason': '', 'change_rate': -3.53, 'change_rate_new': -0.0353, 'open': 18.9, 'close': 19.15, 'change_rate_today': 0.013227513227513229, 'name': '大統新創'}]}]",2020-07-24 12:01:48.075,2020-07-24 20:01:48.075,20,2020-07-27,2020-07-27,0.013227513227513229,-0.031167035389970562,,,,
4,"[{'symbol_id': 'FC0386', 'symbols': [{'id': '8482', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 112.5, 'close': 110, 'change_rate_today': -0.022222222222222223, 'name': '商億-KY'}, {'id': '1506', 'reason': '', 'change_rate': -2.04, 'change_rate_new': -0.0204, 'open': 12.25, 'close': 12, 'change_rate_today': -0.02040816326530612, 'name': '正道'}, {'id': '8906', 'reason': '', 'change_rate': -4.64, 'change_rate_new': -0.0464, 'open': 15.55, 'close': 15.4, 'change_rate_today': -0.00964630225080388, 'name': '花王'}, {'id': '6417', 'reason': '', 'change_rate': 3.69, 'change_rate_new': 0.0369, 'open': 56.9, 'close': 59, 'change_rate_today': 0.03690685413005275, 'name': '韋僑'}]}]",2020-07-27 12:01:48.238,2020-07-27 20:01:48.238,20,2020-07-28,2020-07-28,-0.0038424584020698687,-0.03488973575503862,,,,
5,"[{'symbol_id': 'FC0386', 'symbols': [{'id': '6574', 'reason': '', 'change_rate': -0.35, 'change_rate_new': -0.0034999999999999996, 'open': 57.8, 'close': 57.6, 'change_rate_today': -0.003460207612456674, 'name': '霈方'}, {'id': '4413', 'reason': '', 'change_rate': 1.09, 'change_rate_new': 0.0109, 'open': 13.9, 'close': 13.9, 'change_rate_today': 0.0, 'name': '飛寶企業'}]}]",2020-07-28 12:01:51.386,2020-07-28 20:01:51.386,20,2020-07-29,2020-07-29,-0.001730103806228337,-0.03655947669663884,,,,
6,"[{'symbol_id': 'FC0386', 'symbols': [{'id': '8482', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 111.5, 'close': 111.5, 'change_rate_today': 0.0, 'name': '商億-KY'}, {'id': '5310', 'reason': '', 'change_rate': 10, 'change_rate_new': 0.1, 'open': 7.76, 'close': 8.36, 'change_rate_today': 0.07731958762886594, 'name': '天剛'}, {'id': '8047', 'reason': '', 'change_rate': 0.49, 'change_rate_new': 0.0049, 'open': 10.3, 'close': 10.3, 'change_rate_today': 0.0, 'name': '星雲'}, {'id': '8924', 'reason': '', 'change_rate': -0.8, 'change_rate_new': -0.008, 'open': 37.9, 'close': 37.1, 'change_rate_today': -0.021108179419524992, 'name': '大田'}]}]",2020-07-29 12:01:49.798,2020-07-29 20:01:49.798,20,2020-07-30,2020-07-30,0.014052852052335238,-0.023020389561432156,,,,
7,"[{'symbol_id': 'FC0386', 'symbols': [{'id': '5310', 'reason': '', 'change_rate': 9.93, 'change_rate_new': 0.0993, 'open': 7.76, 'close': 9.19, 'change_rate_today': 0.18427835051546387, 'name': '天剛'}, {'id': '1258', 'reason': '', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 13.2, 'close': 12.85, 'change_rate_today': -0.026515151515151488, 'name': '其祥-KY'}]}]",2020-07-30 12:01:51.558,2020-07-30 20:01:51.558,20,2020-07-31,2020-07-31,0.07888159950015619,0.054045324789001585,,,,
8,"[{'symbol_id': 'FC0386', 'symbols': [{'id': '5310', 'reason': '', 'change_rate': 9.9, 'change_rate_new': 0.099, 'open': 7.76, 'close': 10.1, 'change_rate_today': 0.3015463917525773, 'name': '天剛'}]}]",2020-07-31 12:01:50.480,2020-07-31 20:01:50.480,20,2020-08-03,2020-08-03,0.3015463917525773,0.3718888892227985,,,,
9,"[{'symbol_id': 'FC0386', 'symbols': [{'id': '6545', 'reason': '', 'change_rate': 1.64, 'change_rate_new': 0.016399999999999998, 'open': 7.94, 'close': 7.95, 'change_rate_today': 0.0012594458438286884, 'name': '擎力'}]}]",2020-08-03 12:01:45.928,2020-08-03 20:01:45.928,20,2020-08-04,2020-08-04,0.0012594458438286884,0.3736167089825249,,,,
